airport_ident,latitude,longitude
00CA,35.35479927062988,-116.885498046875
00WI,44.30430030822754,-89.05010223388672
01C,43.34170150756836,-85.77510070800781
01ID,42.60734939575195,-112.03300094604492
01J,30.68630027770996,-81.90570068359375
01LS,30.722599983215332,-91.07735061645508
01MT,48.78914833068848,-114.88050079345703
01OL,34.376888275146484,-96.71268081665039
01WI,44.00869941711426,-90.38985061645508
02FD,30.95234966278076,-86.63545227050781
03CO,40.212501525878906,-104.74449920654297
04CA,34.56385040283203,-117.67499923706055
04I,39.911149978637695,-83.18875122070312
04MS,32.93954849243164,-90.8373031616211
04NV,35.75550079345703,-115.66500091552734
04TT,29.713115692138672,-99.54562759399414
04V,38.09910011291504,-106.17449951171875
04W,46.022850036621094,-92.89514923095702
05CL,38.610849380493164,-122.3915023803711
05LS,31.25,-92.47690200805664
05PS,40.14360046386719,-77.86275100708008
05UT,37.03334999084473,-110.31750106811523
05V,37.411149978637695,-105.55299758911133
05Y,46.303998947143555,-95.44229888916016
06FA,26.90814971923828,-80.32845306396484
06MO,39.23154830932617,-94.8042984008789
06N,41.431949615478516,-74.39155197143555
06TE,30.312700271606445,-95.02685165405273
06TT,30.859999656677246,-100.2020034790039
06WN,46.924949645996094,-122.55299758911133
06Y,45.82969856262207,-96.1604995727539
07B,44.44799995422363,-68.56969833374023
07D,43.06450080871582,-82.72380065917969
07FA,25.32539939880371,-80.27479934692383
07IA,40.647887499999996,-95.02135000000001
07K,41.11155128479004,-98.05134963989258
07MT,48.421051025390625,-106.52799987792969
07TE,27.721099853515625,-97.5119514465332
07Y,46.9557991027832,-93.59744644165039
08B,44.0,-69.88714981079102
08MS,34.66225051879883,-89.86835098266602
08R,41.48950004577637,-71.62064743041992
08TE,29.97605037689209,-98.74364852905273
09CL,39.11375045776367,-121.05649948120117
09FA,27.245549201965332,-81.41310119628906
09S,48.84090042114258,-117.28399658203124
09TS,29.48240089416504,-103.16449737548828
0AK,61.93455123901367,-162.89949798583984
0AZ2,33.77804946899414,-113.64174842834473
0B2,44.763851165771484,-68.7677993774414
0C1,39.4877986907959,-94.78049850463867
0C2,41.77090072631836,-88.70354843139648
0C5,43.57640075683594,-85.28060150146484
0C7,41.5218505859375,-89.13264846801758
0C8,41.51949882507324,-88.6051025390625
0CA1,34.98845100402832,-120.45800018310547
0CA9,35.59485054016113,-120.33849716186523
0CO2,38.851600646972656,-106.93200302124023
0D7,40.79059982299805,-83.82905197143555
0G0,43.10319900512695,-78.70335006713867
0H7,40.42169952392578,-91.70664978027344
0I2,39.476749420166016,-87.09969711303711
0ID2,44.44285011291504,-113.77300262451172
0ID9,46.78527641296387,-116.47334289550781
0IL7,39.78291702270508,-88.54670715332031
0J0,31.600150108337402,-85.23815155029297
0KY1,36.76555061340332,-86.61830139160156
0MI8,44.893330574035645,-84.29922676086426
0MS0,32.47500038146973,-88.61664962768555
0N0,39.289798736572266,-94.44245147705078
0N4,39.20229911804199,-75.4854507446289
0N6,39.01284980773926,-75.53395080566406
0NE6,40.433349609375,-98.07059860229492
0O4,39.943599700927734,-122.1709976196289
0O9,41.84560012817383,-123.9844970703125
0OH8,40.188350677490234,-84.25605010986328
0OK3,35.619449615478516,-98.52250289916992
0P1,39.83170127868652,-99.56845092773438
0Q3,38.22415065765381,-122.45050239562988
0Q4,36.58085060119629,-119.65700149536131
0Q9,38.25740051269531,-122.43400192260742
0R2,38.4023494720459,-93.3322982788086
0R7,31.990300178527832,-93.30789947509766
0R9,39.19415092468262,-99.30305099487305
0S5,46.238548278808594,-116.23849868774414
0T3,37.31319999694824,-89.99469757080078
0TA7,30.15066655476888,-103.89833196004231
0TE4,31.08099937438965,-96.21524810791016
0TE5,27.433799743652344,-99.1859016418457
0TE7,30.251800537109375,-98.6225471496582
0TX1,32.354000091552734,-97.6764030456543
0U1,44.14219856262207,-115.31449890136719
0U2,43.801950454711914,-113.83149719238281
0U3,44.74460029602051,-114.92150115966797
0U7,43.32374954223633,-113.59049987792969
0U8,44.61034965515137,-113.89500045776367
0VA5,37.69429969787598,-77.66165161132812
0WI1,45.50724983215332,-92.14194869995117
0WI4,43.829450607299805,-89.35249710083008
0XA4,27.996950149536133,-98.88219833374023
0XA5,28.684900283813477,-98.38275146484376
0XS7,29.19184970855713,-100.27499771118164
0Y4,43.16419982910156,-95.47000122070312
0Y6,43.41365051269531,-93.51175308227539
10AZ,33.36640167236328,-112.61849975585938
10D,44.953800201416016,-94.06539916992188
11G,42.921499252319336,-82.58549880981445
11IA,42.34994697570801,-92.51338958740234
11II,39.34170150756836,-86.03054809570312
11LS,30.97605037689209,-92.56902503967285
11S,48.26614952087402,-124.31399917602539
12A,35.17840003967285,-92.33539962768555
12NC,34.87586657206217,-76.34999974568684
12OK,35.54140090942383,-97.45319747924805
12TT,33.59374809265137,-97.10111618041992
12WV,34.343666553497314,-82.11212539672852
13MA,42.22329902648926,-72.31134796142578
13ME,45.77639961242676,-69.80929946899414
13NC,35.0287659962972,-77.2545674641927
13Y,48.40829849243164,-93.57939910888672
14AZ,31.908349990844727,-111.12249755859375
14I,39.633399963378906,-83.74995040893555
14MS,32.34527397155762,-89.03417587280273
14NC,34.50724983215332,-77.55514907836914
14OI,40.91924858093262,-82.11404800415039
14S,46.896949768066406,-124.10099792480469
14TS,27.421700477600098,-98.60449981689453
14WS,45.77799987792969,-91.55849838256836
15AR,34.82590103149414,-90.54330062866212
15FL,30.151874542236328,-82.66484832763672
15G,41.028398513793945,-81.79850006103516
15MN,45.26219940185547,-94.51064682006836
16A,60.9060001373291,-162.44049835205078
16S,42.99729919433594,-123.31549835205078
16X,33.0806999206543,-97.35890197753906
17FL,29.28542470932007,-82.12765121459961
17TX,32.44874954223633,-98.25500106811523
17XS,32.177751541137695,-98.43505096435547
18AZ,33.81804847717285,-111.89799880981445
18K,37.384300231933594,-100.18600082397461
18TA,30.136300086975098,-99.74365234375
18TE,32.5851993560791,-95.06394958496094
18Y,45.772199630737305,-93.63259887695312
19AR,35.156700134277344,-92.22424697875977
19AZ,34.60500144958496,-111.86549758911133
19MT,46.838069915771484,-108.93683242797852
1A2,47.11225128173828,-97.2083969116211
1AR3,34.9731502532959,-91.5260009765625
1AZ0,33.100149154663086,-112.2665023803711
1C8,42.292001724243164,-89.13610076904297
1C9,36.95260047912598,-121.4625015258789
1CD2,40.16720008850098,-104.79249954223633
1CO5,38.01519966125488,-103.70074844360352
1D2,42.34785079956055,-83.456298828125
1D4,40.992549896240234,-81.43159866333008
1D6,44.730899810791016,-94.71129989624023
1F1,34.074899673461914,-97.10649871826172
1G8,40.469900131225586,-80.62510299682617
1H4,42.41969871520996,-74.00689697265625
1H9,45.83555030822754,-91.80270004272461
1I9,40.54284858703613,-86.681396484375
1K1,37.775150299072266,-97.11325073242188
1K6,38.37280082702637,-98.59865188598633
1LS0,30.223999977111816,-90.88204956054688
1M8,41.83905029296875,-71.02645111083984
1MO3,39.93319892883301,-94.07390213012695
1MS8,32.94019889831543,-88.5792007446289
1MY1,45.985300064086914,-96.19445037841797
1N5,38.4128999710083,-75.61720085144043
1O6,41.2630500793457,-122.27199935913086
1OK3,34.57469940185547,-97.81269836425781
1PA5,40.830251693725586,-80.41370010375977
1Q1,36.16239929199219,-119.05050277709961
1Q5,39.450700759887695,-122.95449829101562
1S2,48.25860023498535,-121.61000061035156
1S6,48.19070053100586,-116.90950012207031
1S7,45.67180061340332,-116.30550003051758
1T8,29.742963790893555,-98.45191955566406
1TE1,28.2502498626709,-99.81699752807616
1TS9,33.368642807006836,-96.75469207763672
1U0,42.97534942626953,-113.35100173950195
1U1,46.12635040283203,-114.92150115966797
1U3,43.21595001220703,-116.54850006103516
1U4,44.97799873352051,-116.28400039672852
1U6,42.23390007019043,-113.87799835205078
1VA1,36.73615074157715,-80.44540023803711
1VA8,36.8619499206543,-78.40939712524414
1W1,45.62784957885742,-122.40450286865234
1W3,39.605225563049316,-78.76087379455566
1WA6,47.55954933166504,-121.8640022277832
1WI8,44.63585090637207,-87.44020080566406
1WN3,45.2118501663208,-92.5359992980957
1XS8,29.63409996032715,-100.3745002746582
1Y5,43.088199615478516,-92.34375
1Y9,42.988149642944336,-95.66400146484376
1Z1,36.25649833679199,-113.23050308227539
20AR,35.30790138244629,-92.32019805908203
20GA,33.756601333618164,-84.88525009155273
20IA,41.52657890319824,-93.80135345458984
21AZ,34.35234832763672,-109.96999740600586
21MU,36.56514930725098,-93.50970077514648
22XS,31.37374973297119,-97.66669845581055
22Y,46.32370185852051,-94.63879776000977
23D,48.57914924621583,-96.54199981689453
23ND,47.08224868774414,-101.26700210571289
23XS,31.360750198364258,-97.6728515625
23Y,45.222299575805664,-95.4010009765625
24AR,34.198049545288086,-90.95280075073242
24C,42.95376714070638,-85.34413401285808
24CL,36.0887508392334,-119.54249954223633
24IA,42.51580047607422,-92.5197982788086
24K,44.9742488861084,-115.72949981689453
25A,33.7400016784668,-85.82580184936523
25AR,35.93065071105957,-91.7459487915039
25IA,43.39509963989258,-92.96370697021484
25NC,35.63335037231445,-79.70999908447266
25TA,29.836599349975582,-94.96739959716797
25TS,36.09155082702637,-102.41600036621094
25Y,46.50205039978027,-95.33685302734375
26AR,35.21549987792969,-91.8078498840332
26N,39.26350021362305,-74.60744857788086
26W,42.20789909362793,-84.2334976196289
27AZ,33.919450759887695,-113.16749954223633
27C,43.629151344299316,-85.26264953613281
27IA,40.75130081176758,-92.03085327148438
27MS,32.758235931396484,-89.40871810913086
27W,47.81939888000488,-120.71999740600586
28M,42.025150299072266,-70.83809661865234
28TA,27.83360004425049,-98.71695327758789
29AZ,32.906049728393555,-112.89774894714355
29IA,40.75626564025879,-95.37348175048828
29N,39.52400016784668,-75.04635238647461
29OK,36.29999923706055,-97.31694793701172
29TX,34.09454917907715,-99.36565017700195
2B1,41.6852830251058,-70.40213521321614
2B2,42.79535102844238,-70.83945083618164
2C4,43.816749572753906,-92.33684921264648
2C5,42.252498626708984,-85.85029983520508
2C6,40.77395057678223,-90.07439804077148
2CL9,38.33430099487305,-121.30399703979492
2CN4,35.649051666259766,-119.88150024414062
2D1,40.975300788879395,-81.07112693786621
2D7,40.646650314331055,-81.55609893798828
2E2,42.95159912109375,-82.7759017944336
2E8,42.42509841918945,-83.86854934692383
2F6,36.35502529144287,-96.01065063476562
2G8,44.394649505615234,-71.19800186157227
2H4,42.365474700927734,-85.5562515258789
2ID4,47.90834999084473,-116.70899963378906
2IG4,38.851348876953125,-87.49980163574219
2IL3,41.515798568725586,-90.37935256958008
2IL9,41.43280029296875,-87.78170013427734
2J0,29.989450454711914,-84.39540100097656
2J9,30.597599983215332,-84.55709838867188
2K0,40.00525093078613,-88.55860137939453
2K1,36.66312503814697,-97.80915069580078
2K2,37.05945014953613,-93.23429870605469
2K8,37.275400161743164,-97.75879669189452
2KY5,38.375,-83.15469741821289
2L1,47.90665054321289,-97.64105224609375
2M1,39.019649505615234,-94.08650207519531
2OR1,44.82849884033203,-120.49499893188477
2P7,40.05685043334961,-80.96319961547852
2Q5,39.20155143737793,-119.68349838256836
2S0,48.35054969787598,-120.09399795532227
2S1,47.45859909057617,-122.47649765014648
2S5,47.65599822998047,-120.05650329589844
2S6,45.29484939575195,-122.9540023803711
2SC5,34.29170036315918,-82.05374908447266
2SD9,45.452199935913086,-99.01010131835938
2TA6,31.86264991760254,-96.19745254516602
2TA8,26.85930061340332,-98.22204971313477
2TE8,28.67829990386963,-99.79864883422852
2TS6,32.51264953613281,-96.92665100097656
2TS8,29.22054958343506,-97.87164688110352
2TX3,29.216899871826172,-100.61699676513672
2TX4,27.983600616455078,-99.3766975402832
2U0,43.49835014343262,-115.54700088500977
2U4,43.18949890136719,-112.53199768066406
2U5,45.98950004577637,-114.84149932861328
2U7,44.20854949951172,-114.93449783325195
2V3,41.18149948120117,-89.14669799804688
2VA9,38.75790023803711,-77.78720092773438
2VG2,38.971099853515625,-77.8691520690918
2W1,47.1776008605957,-120.85300064086914
2W2,39.46704864501953,-77.01740264892578
2WN2,43.65419960021973,-89.62245178222656
2WN3,44.357850074768066,-88.76139831542969
2WN5,44.00634956359863,-90.01925277709961
2XA0,33.979000091552734,-99.71279907226562
2XS1,30.219749450683594,-98.3026008605957
2XS2,28.262800216674805,-100.1619987487793
2XS3,32.01694869995117,-95.70044708251953
2XS5,30.01039981842041,-98.42525100708008
2XS8,29.22945022583008,-99.82394790649414
2Y2,43.03705024719238,-96.49290084838867
30GA,34.459001541137695,-84.18130111694336
30M,34.65909957885742,-90.37625122070312
30NE,40.35574913024902,-98.68581771850586
31VA,37.020198822021484,-76.58890151977539
31WI,43.00724983215332,-88.60205078125
33C,43.0817985534668,-86.09639739990234
33VT,44.11833381652832,-72.56583023071289
33WV,39.63252639770508,-80.00060272216797
34AZ,33.24300003051758,-111.9104995727539
34G,41.968950271606445,-83.9234504699707
34U,44.83970069885254,-85.43150329589844
35AZ,31.843050003051758,-110.97649765014648
35C,43.12835121154785,-85.50530242919922
35XA,30.83405876159668,-94.94168090820312
36CA,36.13179969787598,-119.98550033569336
36CN,35.63624954223633,-120.00899887084961
36MI,42.03387451171875,-83.87834739685059
36NC,36.25359916687012,-79.90805053710938
36WI,44.03225135803223,-91.29969787597656
37M,36.0408992767334,-90.15075302124023
37N,47.48270034790039,-101.40850067138672
37X,29.99205017089844,-95.9306526184082
38AZ,36.47170066833496,-110.41800308227538
38C,43.6077995300293,-85.49250030517578
38CA,35.69169998168945,-119.48849868774414
38I,40.09115028381348,-83.68939971923828
38N,39.30364990234375,-75.58380126953125
38W,48.95590019226074,-122.45800018310547
38XS,26.815199851989746,-98.479248046875
39G,43.03005027770996,-82.66934967041016
39MD,38.274986267089844,-76.72404479980469
39P,46.55039978027344,-122.26649856567383
39TE,32.71435070037842,-102.73649978637695
3A9,44.393574714660645,-97.12267303466797
3AK2,61.64175033569336,-149.2779998779297
3AZ5,35.572200775146484,-113.2925033569336
3B3,42.425899505615234,-71.79285049438477
3C1,41.65632438659668,-86.0346736907959
3D1,45.214250564575195,-88.07332420349121
3D2,45.13535118103027,-87.18589782714844
3D8,41.33600044250488,-83.72319793701172
3DA,43.0532751083374,-83.80515098571777
3EV,38.01194953918457,-87.59485244750977
3EX,39.33774948120117,-94.19720077514648
3FA7,29.042662620544434,-81.05695343017578
3FK,39.42634963989258,-86.05899810791016
3G8,41.43980026245117,-90.11005020141602
3GE3,34.411949157714844,-83.18415069580078
3H5,41.68244934082031,-90.07859802246094
3J6,30.796350479125977,-82.02814865112305
3K4,39.142799377441406,-89.45700073242188
3KK,41.095574378967285,-87.91084861755371
3KS2,37.060468673706055,-96.99871063232422
3KS9,37.72711372375488,-101.1954116821289
3LA4,29.799681663513184,-92.80353546142578
3MO,38.01860046386719,-93.69319915771484
3MO4,36.4505500793457,-89.6280517578125
3N8,47.25950050354004,-95.92950057983398
3ND6,47.242069244384766,-99.89762496948242
3NE5,40.94755172729492,-96.20259857177734
3NP,42.17077350616455,-84.25962448120117
3O5,34.369150161743164,-98.40620040893555
3O8,36.248098373413086,-120.23799896240234
3OK5,34.728599548339844,-97.60585021972656
3OL8,36.87779998779297,-95.14915084838867
3R8,38.65770149230957,-85.79059982299805
3RU,33.33285140991211,-84.40079879760742
3S2,44.514150619506836,-70.40679931640625
3SC4,34.771949768066406,-81.98775100708008
3T0,33.839500427246094,-96.81010055541992
3TA,37.95965003967285,-98.64759826660156
3TA0,30.096500396728516,-100.40399932861328
3TA5,30.13350009918213,-98.38364791870119
3TA6,29.541900634765625,-100.25299835205078
3TE,42.02505016326904,-83.93935203552246
3TS1,30.01140022277832,-98.0405502319336
3U0,42.02349853515625,-115.33550262451172
3U2,44.91164970397949,-115.48550033569336
3VS,38.42825126647949,-92.87524795532227
3W2,41.63669967651367,-82.82835006713867
3W3,38.91809844970703,-76.35884857177734
3W5,48.529850006103516,-121.75849914550781
3W9,41.694448471069336,-82.79655075073242
3X5,41.718000411987305,-82.82114791870117
3Y7,45.389549255371094,-101.4375
40C,42.20002555847168,-86.24999809265137
40D,45.7903995513916,-89.12109756469727
41C,42.69212532043457,-85.64717292785645
41G,42.84029960632324,-84.4791488647461
42B,41.44620132446289,-72.4572982788086
42C,43.55835151672363,-85.77645111083984
42IA,42.26144981384277,-96.28970336914062
42KY,36.77645111083985,-88.22229766845703
42N,43.5172004699707,-86.3739013671875
42TT,30.455592155456543,-95.23079681396484
42XA,31.362299919128418,-97.09029769897461
43G,42.177350997924805,-83.54570007324219
43MI,45.850650787353516,-87.1167984008789
43MN,46.93400001525879,-92.41275024414062
43NC,36.02079963684082,-80.51639938354492
43NY,42.78664970397949,-74.80154800415039
43Y,47.888200759887695,-94.2590503692627
44A,32.51625061035156,-114.697998046875
44B,45.17745018005371,-69.24464797973633
44G,41.855098724365234,-83.8707504272461
44SC,33.4819450378418,-80.77708435058594
44XA,27.836944580078125,-97.77180862426758
45CN,37.861650466918945,-120.17799758911133
45MI,46.26395034790039,-84.12640380859375
46CN,34.48470115661621,-117.82649993896484
46N,41.984649658203125,-73.83599853515625
47G,43.24367427825928,-84.8822250366211
47KS,38.77064895629883,-95.2750015258789
47OH,41.200050354003906,-82.57350158691406
47TX,26.933950424194336,-97.76250076293945
47Y,46.64150047302246,-96.10459899902344
48FA,28.8383455,-81.8026525
48G,43.10344886779785,-82.89020156860352
48X,27.642449378967285,-82.52014923095703
48XS,29.926549911499023,-103.29500198364258
48Y,48.99960136413574,-95.98255157470703
49C,42.52779960632324,-88.15619659423828
49G,42.57810020446777,-84.9083023071289
49IL,41.593299865722656,-88.691650390625
49MT,45.60571479797363,-109.12128067016602
4AK6,61.63972473144531,-149.28475189208984
4AL8,34.490549087524414,-86.6734504699707
4AR1,35.041250228881836,-92.1010513305664
4AR2,34.90834999084473,-92.00835037231445
4AZ7,33.37349891662598,-110.4579963684082
4B0,42.56070137023926,-73.83395004272461
4B9,41.91620063781738,-72.77695083618164
4C1,41.45235061645508,-86.79109954833984
4C2,41.43109893798828,-84.98109817504883
4C7,42.54749870300293,-93.03340148925781
4D1,43.670000076293945,-90.23265075683594
4D8,43.33332538604736,-95.1590747833252
4FA7,28.80301570892334,-82.11969757080078
4G1,41.44682502746582,-80.39125061035156
4G3,40.9817008972168,-81.04215240478516
4G7,39.448150634765625,-80.16704940795898
4KA,60.5755500793457,-165.2719955444336
4LA3,30.80845069885254,-91.21649932861328
4M5,33.48794937133789,-91.4426498413086
4M8,34.64794921875,-91.39419937133789
4MI1,44.73830032348633,-83.37969970703125
4MN5,45.55050086975098,-96.45140075683594
4N4,46.08894920349121,-97.16680145263672
4PA0,40.31709861755371,-76.53665161132812
4R6,46.260501861572266,-97.44124984741212
4S5,48.63369941711426,-97.39730072021484
4S6,46.63754844665527,-121.1240005493164
4TA0,29.35555076599121,-95.66390228271484
4TA6,30.022449493408203,-99.38365173339844
4TE0,32.933349609375,-94.73360061645508
4TE8,30.321049690246582,-94.0734977722168
4TE9,29.26414966583252,-99.35060119628906
4TS8,29.374850273132324,-99.34194946289062
4U8,39.02169990539551,-87.18704986572266
4V8,42.92714881896973,-72.86565017700195
4W0,47.39534950256348,-121.5364990234375
4W8,46.990549087524414,-123.42950057983398
4WA0,46.94029998779297,-119.73750305175781
4WI4,45.57405090332031,-89.74799728393555
4WN5,45.45705032348633,-92.37820053100586
4Y1,42.56520080566406,-83.8563003540039
4Y8,43.20224952697754,-82.75384902954102
4Y9,44.308799743652344,-85.77820205688477
50G,43.18330097198486,-84.1333999633789
50S,43.777700424194336,-116.9365005493164
50TX,30.137649536132812,-98.52539825439453
50XS,29.043299674987793,-100.58449935913086
51G,43.14346694946289,-83.79695129394531
52AR,35.280099868774414,-92.24155044555664
52B,45.47450065612793,-69.60357666015625
52I,43.846900939941406,-84.01139831542969
52K,39.49794960021973,-96.175048828125
52Y,47.0679988861084,-93.91275024414062
53K,38.63335037231445,-95.8018035888672
53W,43.554500579833984,-84.97854995727539
54AL,30.597537994384766,-87.82133102416992
54M,35.05405044555664,-89.58005142211914
54MU,40.3004335,-95.112179
54NY,42.35504913330078,-78.03529739379883
54XA,33.491600036621094,-97.21109771728516
55G,43.29764938354492,-82.60734939575195
55S,46.604148864746094,-121.6780014038086
55XS,29.16635036468506,-100.41799926757812
56FD,30.964649200439453,-85.06939697265625
56G,43.57752513885498,-82.64772605895996
56LA,32.345149993896484,-93.81820297241211
56ME,46.6267415,-67.844304
56S,46.01500129699707,-123.90799713134766
